text,intent,slots
Is fire resistance reccomended for Dragon dungeon?,AnswerQuestion,O O O O O B-location I-location
Show me where the dragon is,FollowAction,O O O O B-location O
Show me where the dragoon is,FollowAction,O O O O B-location O
Take me to Deep Sea dungeon entrance,FollowAction,O O O B-location I-location I-location O
Take me to castle of doom dungeon entrance,FollowAction,O O O B-location I-location I-location I-location O
Take me to healing shrnie,FollowAction,O O O B-location I-location
Take me to tutorial,FollowAction,O O O B-location
Take me to tutoial,FollowAction,O O O B-location
Take me to Dragon dungeon entrance,FollowAction,O O O B-location I-location O
Take me to Drgon dungeon entrance,FollowAction,O O O B-location I-location O
Take me to where I can heal,FollowAction,O O O O O O B-location
Take me to the nearest shop,FollowAction,O O O O O B-location
Take me to the shop,FollowAction,O O O O B-location
Show me where the weapon shop is,FollowAction,O O O O B-location I-location O
Show me where the wep shop is,FollowAction,O O O O B-location I-location O
Show me where the potion shop is,FollowAction,O O O O B-location I-location O
Show me where the wepon shop is,FollowAction,O O O O B-location I-location O
Get me to the shop,FollowAction,O O O O B-location
Get me to the wapon shop,FollowAction,O O O O B-location I-location
Get me to the teleporter,FollowAction,O O O O B-location
Get me to the telporer,FollowAction,O O O O B-location
Get me to Alcatraz,FollowAction,O O O B-location
Show me the way to the dragon.,FollowAction,O O O O O O B-location
Show me the way to the shrine.,FollowAction,O O O O O O B-location
Shw me the way to weapon shop.,FollowAction,O O O O O B-location I-location
Help me get to buy potions.,FollowAction,O O O O O B-location
Give me path to teleporter.,FollowAction,O O O O B-location
Give me path to healing shrine.,FollowAction,O O O O B-location I-location
Gve me path to teleporter.,FollowAction,O O O O B-location
Give me pat to weapon shop.,FollowAction,O O O O B-location I-location
path to healing,FollowAction,O O B-location
pth to healing,FollowAction,O O B-location
path to dungeon entrance,FollowAction, O O B-location I-location
Take me to the closest teleporter.,FollowAction,O O O O O B-location
Take me to the closest healing shrine.,FollowAction,O O O O O B-location I-location
Take me to the healing shrine.,FollowAction,O O O O B-location I-location
Tke me to the healing shrine.,FollowAction,O O O O B-location I-location
Show me where is the weapon shop.,FollowAction,O O O O O B-location I-location
Show me where is the armr shp.,FollowAction,O O O O O B-location I-location
Show me where is the potion shop.,FollowAction,O O O O O B-location I-location
Take me to the closest castle.,FollowAction,O O O O O B-location
Take me to the closest dragon.,FollowAction,O O O O O B-location
Take me to the closest dragoon.,FollowAction,O O O O O B-location
Ponpoont me to healing shrine.,FollowAction,O O O B-location I-location
Pinpoint me to the nearest healing shrine.,FollowAction,O O O O O B-location I-location
Pnpont me to the nearest teleporter.,FollowAction,O O O O O B-location
Teleport me please.,FollowAction,B-location O O
Heal me please.,FollowAction,B-location O O
To castle Doom.,FollowAction,O B-location I-location
To catle Dom.,FollowAction,O B-location I-location
Go to dragon dungron.,FollowAction,O O B-location I-location
Go to dragoon dundun.,FollowAction,O O B-location I-location
Go to tut.,FollowAction,O O B-location
Go to castle.,FollowAction,O O B-location
Go to deep sea.,FollowAction,O O B-location I-location
Show me the way to the dragon.,FollowAction,O O O O O O B-location
Show me the way to the dragon dungeon.,FollowAction,O O O O O O B-location I-location
Help me get to buy potions.,FollowAction,O O O O O B-location
Give me path to teleporter.,FollowAction,O O O O B-location
Give me path to shrine.,FollowAction,O O O O B-location
Give me path to shops.,FollowAction,O O O O B-location
I need to get to a healing shrine.,FollowAction,O O O O O O B-location I-location
Take me to the armor shop.,FollowAction,O O O O B-location I-location
Lets go to Mordor.,FollowAction,O O O B-location
I want to go to the teleport thingy.,FollowAction,O O O O O O B-location I-location
I desire to visit the tutorial.,FollowAction,O O O O O B-location
My destination is the shop.,FollowAction,O O O O B-location I-location
get me to the dungeon now!,FollowAction,O O O O B-location O
show me the weapon shop!,FollowAction,O O O B-location I-location
